,gene,cluster
947,OBP2B,Singleton
948,OR51B4,Singleton
949,DEFB129,Singleton
950,PAGE5,Singleton
951,TBC1D3L,Singleton
952,WFDC13,Singleton
953,TMEM202,Singleton
954,TRB,Singleton
955,PPIAL4D,Singleton
956,DUXA,Singleton
957,OOSP1,Singleton
958,C1QTNF8,Singleton
959,FAM187A,Singleton
960,CBLL2,Singleton
961,MAGEA2B,Singleton
962,KRTAP4-9,Singleton
963,TRIM43,Singleton
964,RBMXL3,Singleton
965,IQCF1,Singleton
966,OOSP2,Singleton
967,KRTAP5-3,Singleton
968,KRTAP8-1,Singleton
969,FOXD4L4,Singleton
970,DAZ3,Singleton
971,ANKRD60,Singleton
972,CSAG3,Singleton
973,TBC1D3G,Singleton
974,CFC1B,Singleton
975,TAS2R39,Singleton
976,FABP9,Singleton
977,KRTAP17-1,Singleton
978,SPACA7,Singleton
979,OR8G5,Singleton
980,PRSS38,Singleton
981,POTEB,Singleton
982,ZCCHC13,Singleton
983,FOXD4L5,Singleton
984,TMEM239,Singleton
985,URGCP-MRPS24,Singleton
986,NCBP2L,Singleton
987,SPATA31C2,Singleton
988,LGTN,Singleton
989,CCER1,Singleton
990,GOLGA6L2,Singleton
991,OR1L6,Singleton
992,KRTAP5-5,Singleton
993,PIWIL3,Singleton
994,XKR3,Singleton
995,TMEM95,Singleton
996,CLEC2A,Singleton
997,CST11,Singleton
998,GFRAL,Singleton
999,SPATA31D1,Singleton
1000,GGTLC3,Singleton
1001,FOXD4L3,Singleton
1002,XAGE2,Singleton
1003,OR51I2,Singleton
1004,MAGEB18,Singleton
1005,KRT39,Singleton
1006,SPANXD,Singleton
1007,FXYD6-FXYD2,Singleton
1008,KRTAP9-2,Singleton
1009,WFDC9,Singleton
1010,TAS2R60,Singleton
1011,PRR32,Singleton
1012,KRTAP4-1,Singleton
1013,CATSPERZ,Singleton
1014,TOMT,Singleton
1015,FRG2,Singleton
1016,ITIH6,Singleton
1017,TPRX1,Singleton
1018,MAS1L,Singleton
1019,OR10A5,Singleton
1020,TEX37,Singleton
1021,OR51M1,Singleton
1022,SCGB1C2,Singleton
1023,KRTAP10-4,Singleton
1024,OR4D9,Singleton
1025,FDCSP,Singleton
1026,OR52D1,Singleton
1027,TP53TG3,Singleton
1028,UGT2A2,Singleton
1029,CCDC200,Singleton
1030,SPATA31E1,Singleton
1031,SPATA31A1,Singleton
1032,KRTAP4-6,Singleton
1033,XAGE1A,Singleton
1034,TAAR9,Singleton
1035,IZUMO1R,Singleton
1036,RNASE9,Singleton
1037,BPIFB4,Singleton
1038,MAGEA9,Singleton
1039,OR51V1,Singleton
1040,DCAF8L2,Singleton
1041,TAAR6,Singleton
1042,SCGB1D4,Singleton
1043,OR10R2,Singleton
1044,KRTAP9-3,Singleton
1045,CCDC105,Singleton
1046,RGS21,Singleton
1047,KRTAP9-6,Singleton
1048,PRSS58,Singleton
1049,OR10A4,Singleton
1050,RNASE13,Singleton
1051,EFCAB9,Singleton
1052,RHOXF2B,Singleton
1053,KRTAP3-3,Singleton
1054,CSTL1,Singleton
1055,KRTAP13-1,Singleton
1056,KRTAP11-1,Singleton
1057,ACTRT1,Singleton
1058,DEFB114,Singleton
1059,DEFB119,Singleton
1060,AADACL4,Singleton
1061,MBD3L3,Singleton
1062,OR1N2,Singleton
1063,TAS2R42,Singleton
1064,MROH9,Singleton
1065,KRTAP4-2,Singleton
1066,FAM9A,Singleton
1067,OR8B8,Singleton
1068,KRTAP19-1,Singleton
1069,OR10K1,Singleton
1070,STPG3,Singleton
1071,HTR3E,Singleton
1072,OR6S1,Singleton
1073,OR2K2,Singleton
1074,TP53TG3B,Singleton
1075,OR2D2,Singleton
1076,POTEA,Singleton
1077,KRTAP4-12,Singleton
1078,PRR27,Singleton
1079,ZNF679,Singleton
1080,WFDC11,Singleton
1081,KRTAP21-1,Singleton
1082,OR5V1,Singleton
1083,OR1L4,Singleton
1084,KRTAP19-3,Singleton
1085,IQCF5,Singleton
1086,OR4A47,Singleton
1087,FOXD4L6,Singleton
1088,GPHB5,Singleton
1089,TEX52,Singleton
1090,ELOA2,Singleton
1091,MUC22,Singleton
1092,SLC2A7,Singleton
1093,GAGE2E,Singleton
1094,FAM47B,Singleton
1095,SPINT4,Singleton
1096,CPXCR1,Singleton
1097,ZNF479,Singleton
